,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
47,AZD-8055,Navitoclax,LS123,16.87665128,PD_03,PD_09,PD_03-PD_09,AZD-8055 + Navitoclax,mTOR_inhibitors,BCL2L1_inhibitors,mTOR_inhibitors + BCL2L1_inhibitors,"['mTOR_c2', 'mTOR_c1']","['BCL2L1', 'BCL2']","['mTOR_c2', 'mTOR_c1'] + ['BCL2L1', 'BCL2']"
48,AZD-8055,Neratinib,LS123,7.142619268,PD_03,PD_04,PD_03-PD_04,AZD-8055 + Neratinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
49,AZD-8055,Obatoclax Mesylate,LS123,5.409589444,PD_03,PD_10,PD_03-PD_10,AZD-8055 + Obatoclax Mesylate,mTOR_inhibitors,BCL2_inhibitors,mTOR_inhibitors + BCL2_inhibitors,"['mTOR_c2', 'mTOR_c1']",['BCL2'],"['mTOR_c2', 'mTOR_c1'] + ['BCL2']"
50,AZD-8055,oxaliplatin,LS123,4.940012294,PD_03,,PD_03-nan,AZD-8055 + oxaliplatin,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
51,AZD-8055,Palbociclib,LS123,9.431433352,PD_03,PD_08,PD_03-PD_08,AZD-8055 + Palbociclib,mTOR_inhibitors,CyclinD_inhibitors,mTOR_inhibitors + CyclinD_inhibitors,"['mTOR_c2', 'mTOR_c1']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']","['mTOR_c2', 'mTOR_c1'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2']"
52,AZD-8055,SN-38,LS123,0.052702519,PD_03,,PD_03-nan,AZD-8055 + SN-38,mTOR_inhibitors,,,"['mTOR_c2', 'mTOR_c1']",,
53,AZD-8055,Ulixertinib,LS123,6.528345699,PD_03,PD_11,PD_03-PD_11,AZD-8055 + Ulixertinib,mTOR_inhibitors,ERK_inhibitors,mTOR_inhibitors + ERK_inhibitors,"['mTOR_c2', 'mTOR_c1']",['ERK_f'],"['mTOR_c2', 'mTOR_c1'] + ['ERK_f']"
54,Capivasertib,Lapatinib,LS123,4.582642347,PD_01,PD_04,PD_01-PD_04,Capivasertib + Lapatinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
55,Capivasertib,Neratinib,LS123,10.58703747,PD_01,PD_04,PD_01-PD_04,Capivasertib + Neratinib,AKT_inhibitors,EGFR_inhibitors,AKT_inhibitors + EGFR_inhibitors,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
56,Everolimus,Capivasertib,LS123,21.18507164,PD_03,PD_01,PD_03-PD_01,Everolimus + Capivasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
57,Everolimus,Ipatasertib,LS123,20.68677797,PD_03,PD_01,PD_03-PD_01,Everolimus + Ipatasertib,mTOR_inhibitors,AKT_inhibitors,mTOR_inhibitors + AKT_inhibitors,"['mTOR_c2', 'mTOR_c1']",['AKT1'],"['mTOR_c2', 'mTOR_c1'] + ['AKT1']"
58,Everolimus,Lapatinib,LS123,24.15293122,PD_03,PD_04,PD_03-PD_04,Everolimus + Lapatinib,mTOR_inhibitors,EGFR_inhibitors,mTOR_inhibitors + EGFR_inhibitors,"['mTOR_c2', 'mTOR_c1']","['ERBB2', 'EGFR']","['mTOR_c2', 'mTOR_c1'] + ['ERBB2', 'EGFR']"
