,drug_combination,cell_line,synergy
512,Trametinib + Palbociclib,HCC2998,1.0
513,Trametinib + Pictilisib,HCC2998,1.0
514,Trametinib + SCH772984,HCC2998,0.0
515,Trametinib + Taselisib,HCC2998,1.0
516,AZD7762 + Cisplatin,HCT116,0.0
517,AZD7762 + MK-1775,HCT116,1.0
518,Lapatinib + Crizotinib,HCT116,1.0
519,Lapatinib + Dabrafenib,HCT116,0.0
520,Lapatinib + LGK974,HCT116,0.0
521,Lapatinib + Linsitinib,HCT116,1.0
522,Lapatinib + MK-2206,HCT116,1.0
523,Lapatinib + Navitoclax,HCT116,1.0
524,Lapatinib + PD173074,HCT116,1.0
525,Lapatinib + Palbociclib,HCT116,1.0
526,Lapatinib + Pictilisib,HCT116,0.0
527,Lapatinib + Taselisib,HCT116,1.0
528,Lapatinib + Trametinib,HCT116,1.0
529,MK-1775 + Cisplatin,HCT116,1.0
530,MK-1775 + Nutlin-3a (-),HCT116,0.0
531,MK-1775 + Pictilisib,HCT116,1.0
532,MK-2206 + OSI-027,HCT116,1.0
533,Navitoclax + Afatinib,HCT116,1.0
534,Navitoclax + Axitinib,HCT116,1.0
535,Navitoclax + Taselisib,HCT116,1.0
536,Navitoclax + Trametinib,HCT116,1.0
537,Nilotinib + Trametinib,HCT116,1.0
538,Olaparib + MK-1775,HCT116,1.0
539,Taselisib + Afatinib,HCT116,1.0
540,Taselisib + LGK974,HCT116,1.0
541,Taselisib + Linsitinib,HCT116,0.0
542,Taselisib + MK-2206,HCT116,0.0
543,Taselisib + Navitoclax,HCT116,1.0
544,Taselisib + OSI-027,HCT116,1.0
545,Taselisib + Olaparib,HCT116,0.0
546,Taselisib + Palbociclib,HCT116,1.0
547,Taselisib + Sapitinib,HCT116,1.0
548,Taselisib + Trametinib,HCT116,1.0
549,Trametinib + Afatinib,HCT116,1.0
550,Trametinib + LGK974,HCT116,0.0
551,Trametinib + Linsitinib,HCT116,1.0
552,Trametinib + MK-2206,HCT116,1.0
553,Trametinib + Navitoclax,HCT116,1.0
554,Trametinib + Olaparib,HCT116,1.0
555,Trametinib + Palbociclib,HCT116,1.0
