,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
89,Trametinib,Navitoclax,PD_15,PD_02,CL40,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
90,Trametinib,Navitoclax,PD_15,PD_02,COLO205,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
91,Trametinib,Navitoclax,PD_15,PD_02,COLO320HSR,0,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
92,Trametinib,Navitoclax,PD_15,PD_02,COLO678,0,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
93,Trametinib,Navitoclax,PD_15,PD_02,CW2,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
94,Trametinib,Navitoclax,PD_15,PD_02,CAR1,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
95,Trametinib,Navitoclax,PD_15,PD_02,DIFI,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
96,Trametinib,Navitoclax,PD_15,PD_02,GP5D,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
97,Trametinib,Navitoclax,PD_15,PD_02,HCC2998,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
98,Trametinib,Navitoclax,PD_15,PD_02,HCT116,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
99,Trametinib,Navitoclax,PD_15,PD_02,HCT15,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
100,Trametinib,Navitoclax,PD_15,PD_02,HT29,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
101,Trametinib,Navitoclax,PD_15,PD_02,HT55,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
102,Trametinib,Navitoclax,PD_15,PD_02,KM12,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
103,Trametinib,Navitoclax,PD_15,PD_02,LS123,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
104,Trametinib,Navitoclax,PD_15,PD_02,LS180,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
105,Trametinib,Navitoclax,PD_15,PD_02,LS411N,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
106,Trametinib,Navitoclax,PD_15,PD_02,LS513,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
