,inhibitor_combination,cell_line,synergy
465,MEKi + PI3Ki,HCC2998,1.0
466,MEKi + PORCNi,HCC2998,1.0
467,PARPi + WEE1i,HCC2998,1.0
468,PI3Ki + AKTi,HCC2998,1.0
469,PI3Ki + BCL2i,HCC2998,1.0
470,PI3Ki + CDKi,HCC2998,1.0
471,PI3Ki + ErrBi,HCC2998,1.0
472,PI3Ki + IGFRi,HCC2998,1.0
473,PI3Ki + MEKi,HCC2998,1.0
474,PI3Ki + MTORi,HCC2998,1.0
475,PI3Ki + PARPi,HCC2998,0.0
476,PI3Ki + PORCNi,HCC2998,1.0
477,WEE1i + ATMa,HCC2998,1.0
478,WEE1i + MDM2i,HCC2998,1.0
479,WEE1i + PI3Ki,HCC2998,1.0
480,ABL1i + MEKi,HCT116,1.0
481,AKTi + MTORi,HCT116,1.0
482,BCL2i + EGFRi,HCT116,1.0
483,BCL2i + ErrBi,HCT116,1.0
484,BCL2i + MEKi,HCT116,1.0
485,BCL2i + PI3Ki,HCT116,1.0
486,CHEKi + ATMa,HCT116,0.0
487,CHEKi + WEE1i,HCT116,1.0
488,ErrBi + AKTi,HCT116,1.0
489,ErrBi + BCL2i,HCT116,1.0
490,ErrBi + CDKi,HCT116,1.0
491,ErrBi + FGFRi,HCT116,1.0
492,ErrBi + IGFRi,HCT116,1.0
493,ErrBi + MEKi,HCT116,1.0
494,ErrBi + METi,HCT116,1.0
495,ErrBi + PI3Ki,HCT116,0.5
496,ErrBi + PORCNi,HCT116,0.0
497,ErrBi + RAFi,HCT116,0.0
498,MEKi + AKTi,HCT116,1.0
499,MEKi + BCL2i,HCT116,1.0
500,MEKi + CDKi,HCT116,1.0
501,MEKi + ERKi,HCT116,1.0
502,MEKi + ErrBi,HCT116,1.0
503,MEKi + IGFRi,HCT116,1.0
504,MEKi + PARPi,HCT116,1.0
505,MEKi + PI3Ki,HCT116,1.0
506,MEKi + PORCNi,HCT116,0.0
507,PARPi + WEE1i,HCT116,1.0
508,PI3Ki + AKTi,HCT116,0.0
509,PI3Ki + BCL2i,HCT116,1.0
510,PI3Ki + CDKi,HCT116,1.0
511,PI3Ki + ErrBi,HCT116,1.0
512,PI3Ki + IGFRi,HCT116,0.0
513,PI3Ki + MEKi,HCT116,1.0
514,PI3Ki + MTORi,HCT116,1.0
515,PI3Ki + PARPi,HCT116,0.0
516,PI3Ki + PORCNi,HCT116,1.0
517,WEE1i + ATMa,HCT116,1.0
518,WEE1i + MDM2i,HCT116,0.0
519,WEE1i + PI3Ki,HCT116,1.0
520,ABL1i + MEKi,HCT15,0.0
521,AKTi + MTORi,HCT15,1.0
522,BCL2i + EGFRi,HCT15,1.0
523,BCL2i + ErrBi,HCT15,1.0
524,BCL2i + MEKi,HCT15,1.0
525,BCL2i + PI3Ki,HCT15,1.0
526,CHEKi + ATMa,HCT15,1.0
527,CHEKi + WEE1i,HCT15,1.0
528,ErrBi + AKTi,HCT15,1.0
529,ErrBi + BCL2i,HCT15,1.0
530,ErrBi + CDKi,HCT15,1.0
531,ErrBi + FGFRi,HCT15,1.0
532,ErrBi + IGFRi,HCT15,1.0
533,ErrBi + MEKi,HCT15,1.0
534,ErrBi + METi,HCT15,1.0
535,ErrBi + PI3Ki,HCT15,0.5
536,ErrBi + PORCNi,HCT15,1.0
537,ErrBi + RAFi,HCT15,1.0
538,MEKi + AKTi,HCT15,1.0
539,MEKi + BCL2i,HCT15,1.0
540,MEKi + CDKi,HCT15,1.0
541,MEKi + ERKi,HCT15,0.0
542,MEKi + ErrBi,HCT15,1.0
543,MEKi + IGFRi,HCT15,1.0
544,MEKi + PARPi,HCT15,0.0
