drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
Everolimus,Lapatinib,SW620,-14.25409909,PD_08,PD_11
Everolimus,Navitoclax,SW620,2.027709935,PD_08,PD_13
Everolimus,Neratinib,SW620,-9.236232,PD_08,PD_11
Everolimus,Obatoclax,SW620,2.65104932,PD_08,PD_15
Everolimus,Oxaliplatin,SW620,-7.430908643,PD_08,
Everolimus,Palbociclib,SW620,0.414951528,PD_08,PD_16
Everolimus,SN-38,SW620,0.494557717,PD_08,
Everolimus,Ulixertinib,SW620,4.201106767,PD_08,PD_21
Ipatasertib,Lapatinib,SW620,2.7275498,PD_03,PD_11
Ipatasertib,Neratinib,SW620,-13.81927941,PD_03,PD_11
PF-477736,MK-1775,SW620,10.19638407,PD_18,PD_12
PF-477736,Niraparib,SW620,12.05283837,PD_18,PD_14
PF-477736,Olaparib,SW620,-4.715592754,PD_18,PD_14
PF-477736,Palbociclib,SW620,0.16554918,PD_18,PD_16
PF-477736,PF-3644022,SW620,-21.53330619,PD_18,PD_17
Prexasertib,MK-1775,SW620,16.78600606,PD_18,PD_12
Prexasertib,Niraparib,SW620,10.84192568,PD_18,PD_14
Prexasertib,Olaparib,SW620,-6.276146123,PD_18,PD_14
Prexasertib,Palbociclib,SW620,-9.143599102,PD_18,PD_16
Prexasertib,PF-3644022,SW620,-15.44635798,PD_18,PD_17
Torin 1,Capivasertib,SW620,6.980714858,PD_08,PD_03
Torin 1,Ipatasertib,SW620,-0.500862233,PD_08,PD_03
Torin 1,Lapatinib,SW620,-14.03121221,PD_08,PD_11
Torin 1,Navitoclax,SW620,2.164893253,PD_08,PD_13
Torin 1,Neratinib,SW620,-8.303277491,PD_08,PD_11
Torin 1,Obatoclax,SW620,1.451990904,PD_08,PD_15
Torin 1,Oxaliplatin,SW620,-7.326024048,PD_08,
Torin 1,Palbociclib,SW620,-1.759152707,PD_08,PD_16
Torin 1,SN-38,SW620,-4.845685674,PD_08,
Torin 1,Ulixertinib,SW620,-4.173807867,PD_08,PD_21
AZD-8055,Capivasertib,SW837,10.41949605,PD_02,PD_03
AZD-8055,Ipatasertib,SW837,10.70436546,PD_02,PD_03
AZD-8055,Lapatinib,SW837,16.53929615,PD_02,PD_11
AZD-8055,Navitoclax,SW837,27.28772275,PD_02,PD_13
AZD-8055,Neratinib,SW837,12.46020885,PD_02,PD_11
AZD-8055,Obatoclax,SW837,10.53341113,PD_02,PD_15
AZD-8055,Oxaliplatin,SW837,0.658826936,PD_02,
AZD-8055,Palbociclib,SW837,0.262354444,PD_02,PD_16
AZD-8055,SN-38,SW837,11.33009877,PD_02,
AZD-8055,Ulixertinib,SW837,5.664108703,PD_02,PD_21
Capivasertib,Lapatinib,SW837,17.79121924,PD_03,PD_11
Capivasertib,Neratinib,SW837,10.65231378,PD_03,PD_11
Everolimus,Capivasertib,SW837,4.432419864,PD_08,PD_03
Everolimus,Ipatasertib,SW837,2.81572331,PD_08,PD_03
Everolimus,Lapatinib,SW837,2.390166668,PD_08,PD_11
Everolimus,Navitoclax,SW837,19.27985961,PD_08,PD_13
Everolimus,Neratinib,SW837,1.359997669,PD_08,PD_11
Everolimus,Obatoclax,SW837,7.118228137,PD_08,PD_15
Everolimus,Oxaliplatin,SW837,-1.004235852,PD_08,
Everolimus,Palbociclib,SW837,0.885087775,PD_08,PD_16
Everolimus,SN-38,SW837,3.3448595,PD_08,
Everolimus,Ulixertinib,SW837,1.316713492,PD_08,PD_21
Ipatasertib,Lapatinib,SW837,16.02071915,PD_03,PD_11
Ipatasertib,Neratinib,SW837,11.22586995,PD_03,PD_11
PF-477736,MK-1775,SW837,6.744520906,PD_18,PD_12
PF-477736,Niraparib,SW837,-0.509542366,PD_18,PD_14
PF-477736,Olaparib,SW837,-0.733369812,PD_18,PD_14
PF-477736,Palbociclib,SW837,-6.544959341,PD_18,PD_16
PF-477736,PF-3644022,SW837,-0.722686637,PD_18,PD_17
Prexasertib,MK-1775,SW837,6.542212019,PD_18,PD_12
Prexasertib,Niraparib,SW837,-2.859069112,PD_18,PD_14
Prexasertib,Olaparib,SW837,-0.685123349,PD_18,PD_14
Prexasertib,Palbociclib,SW837,-8.336367485,PD_18,PD_16
