drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Lapatinib,MK-2206,PD_03,PD_05,DIFI,1
Lapatinib,MK-2206,PD_03,PD_05,GP5D,1
Lapatinib,MK-2206,PD_03,PD_05,HCC2998,1
Lapatinib,MK-2206,PD_03,PD_05,HCT116,1
Lapatinib,MK-2206,PD_03,PD_05,HCT15,1
Lapatinib,MK-2206,PD_03,PD_05,HT29,1
Lapatinib,MK-2206,PD_03,PD_05,HT55,1
Lapatinib,MK-2206,PD_03,PD_05,KM12,1
Lapatinib,MK-2206,PD_03,PD_05,LS123,0
Lapatinib,MK-2206,PD_03,PD_05,LS180,1
Lapatinib,MK-2206,PD_03,PD_05,LS411N,1
Lapatinib,MK-2206,PD_03,PD_05,LS513,0
Lapatinib,MK-2206,PD_03,PD_05,LOVO,1
Lapatinib,MK-2206,PD_03,PD_05,MDST8,1
Lapatinib,MK-2206,PD_03,PD_05,NCIH716,1
Lapatinib,MK-2206,PD_03,PD_05,NCIH747,1
Lapatinib,MK-2206,PD_03,PD_05,RCM1,1
Lapatinib,MK-2206,PD_03,PD_05,RKO,1
Lapatinib,MK-2206,PD_03,PD_05,SKCO1,1
Lapatinib,MK-2206,PD_03,PD_05,SNU175,1
Lapatinib,MK-2206,PD_03,PD_05,SNU407,1
Lapatinib,MK-2206,PD_03,PD_05,SNU61,1
Lapatinib,MK-2206,PD_03,PD_05,SNUC1,1
Lapatinib,MK-2206,PD_03,PD_05,SNUC2B,1
Lapatinib,MK-2206,PD_03,PD_05,SNUC5,1
Lapatinib,MK-2206,PD_03,PD_05,SW1116,1
Lapatinib,MK-2206,PD_03,PD_05,SW1417,1
Lapatinib,MK-2206,PD_03,PD_05,SW1463,1
Lapatinib,MK-2206,PD_03,PD_05,SW48,1
Lapatinib,MK-2206,PD_03,PD_05,SW620,1
Lapatinib,MK-2206,PD_03,PD_05,SW626,1
Lapatinib,MK-2206,PD_03,PD_05,SW837,1
Lapatinib,MK-2206,PD_03,PD_05,SW948,1
Lapatinib,MK-2206,PD_03,PD_05,T84,1
Taselisib,MK-2206,PD_07,PD_05,C2BBE1,0
Taselisib,MK-2206,PD_07,PD_05,CCK81,0
Taselisib,MK-2206,PD_07,PD_05,CL11,0
Taselisib,MK-2206,PD_07,PD_05,CL40,0
Taselisib,MK-2206,PD_07,PD_05,COLO205,1
Taselisib,MK-2206,PD_07,PD_05,COLO320HSR,0
Taselisib,MK-2206,PD_07,PD_05,COLO678,0
Taselisib,MK-2206,PD_07,PD_05,CW2,0
Taselisib,MK-2206,PD_07,PD_05,CAR1,1
Taselisib,MK-2206,PD_07,PD_05,DIFI,1
Taselisib,MK-2206,PD_07,PD_05,GP5D,0
Taselisib,MK-2206,PD_07,PD_05,HCC2998,1
Taselisib,MK-2206,PD_07,PD_05,HCT116,0
Taselisib,MK-2206,PD_07,PD_05,HCT15,0
Taselisib,MK-2206,PD_07,PD_05,HT29,1
Taselisib,MK-2206,PD_07,PD_05,HT55,0
