drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Navitoclax,Axitinib,PD_02,PD_05,SNUC5,1
Navitoclax,Axitinib,PD_02,PD_05,SW1116,1
Navitoclax,Axitinib,PD_02,PD_05,SW1417,1
Navitoclax,Axitinib,PD_02,PD_05,SW1463,1
Navitoclax,Axitinib,PD_02,PD_05,SW48,1
Navitoclax,Axitinib,PD_02,PD_05,SW620,1
Navitoclax,Axitinib,PD_02,PD_05,SW626,1
Navitoclax,Axitinib,PD_02,PD_05,SW837,1
Navitoclax,Axitinib,PD_02,PD_05,SW948,1
Navitoclax,Axitinib,PD_02,PD_05,T84,1
Navitoclax,Afatinib,PD_02,PD_07,C2BBE1,1
Navitoclax,Afatinib,PD_02,PD_07,CCK81,1
Navitoclax,Afatinib,PD_02,PD_07,CL11,1
Navitoclax,Afatinib,PD_02,PD_07,CL40,1
Navitoclax,Afatinib,PD_02,PD_07,COLO205,1
Navitoclax,Afatinib,PD_02,PD_07,COLO320HSR,0
Navitoclax,Afatinib,PD_02,PD_07,COLO678,1
Navitoclax,Afatinib,PD_02,PD_07,CW2,1
Navitoclax,Afatinib,PD_02,PD_07,CAR1,1
Navitoclax,Afatinib,PD_02,PD_07,DIFI,1
Navitoclax,Afatinib,PD_02,PD_07,GP5D,1
Navitoclax,Afatinib,PD_02,PD_07,HCC2998,1
Navitoclax,Afatinib,PD_02,PD_07,HCT116,1
Navitoclax,Afatinib,PD_02,PD_07,HCT15,1
Navitoclax,Afatinib,PD_02,PD_07,HT29,1
Navitoclax,Afatinib,PD_02,PD_07,HT55,1
Navitoclax,Afatinib,PD_02,PD_07,KM12,1
Navitoclax,Afatinib,PD_02,PD_07,LS123,1
Navitoclax,Afatinib,PD_02,PD_07,LS180,1
Navitoclax,Afatinib,PD_02,PD_07,LS411N,1
Navitoclax,Afatinib,PD_02,PD_07,LS513,1
Navitoclax,Afatinib,PD_02,PD_07,LOVO,1
Navitoclax,Afatinib,PD_02,PD_07,MDST8,1
Navitoclax,Afatinib,PD_02,PD_07,NCIH716,1
Navitoclax,Afatinib,PD_02,PD_07,NCIH747,1
Navitoclax,Afatinib,PD_02,PD_07,RCM1,1
Navitoclax,Afatinib,PD_02,PD_07,RKO,1
Navitoclax,Afatinib,PD_02,PD_07,SKCO1,1
Navitoclax,Afatinib,PD_02,PD_07,SNU175,1
Navitoclax,Afatinib,PD_02,PD_07,SNU407,0
Navitoclax,Afatinib,PD_02,PD_07,SNU61,1
