,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
93,Trametinib,Olaparib,PD_15,PD_04,J82,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
94,Trametinib,Olaparib,PD_15,PD_04,KU1919,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
95,Trametinib,Olaparib,PD_15,PD_04,LB831BLC,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
96,Trametinib,Olaparib,PD_15,PD_04,RT112,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
97,Trametinib,Olaparib,PD_15,PD_04,RT4,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
98,Trametinib,Olaparib,PD_15,PD_04,SW1710,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
99,Trametinib,Olaparib,PD_15,PD_04,SW780,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
100,Trametinib,Olaparib,PD_15,PD_04,TCCSUP,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
101,Trametinib,Olaparib,PD_15,PD_04,UMUC3,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
102,Trametinib,Olaparib,PD_15,PD_04,VMCUB1,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
103,Taselisib,Olaparib,PD_12,PD_04,5637,0,PD_12-PD_04,Taselisib + Olaparib,PI3Ki,PARPi,PI3Ki + PARPi,['PIK3CA'],['PARP1'],['PIK3CA'] + ['PARP1']
104,Taselisib,Olaparib,PD_12,PD_04,639V,0,PD_12-PD_04,Taselisib + Olaparib,PI3Ki,PARPi,PI3Ki + PARPi,['PIK3CA'],['PARP1'],['PIK3CA'] + ['PARP1']
105,Taselisib,Olaparib,PD_12,PD_04,647V,1,PD_12-PD_04,Taselisib + Olaparib,PI3Ki,PARPi,PI3Ki + PARPi,['PIK3CA'],['PARP1'],['PIK3CA'] + ['PARP1']
