drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
Prexasertib,PF-3644022,NCI-H716,0.156520501,PD_02,PD_07
Torin 1,Capivasertib,NCI-H716,10.51864009,PD_03,PD_01
Torin 1,Ipatasertib,NCI-H716,9.105013599,PD_03,PD_01
Torin 1,Lapatinib,NCI-H716,15.55750051,PD_03,PD_04
Torin 1,Navitoclax,NCI-H716,24.09904955,PD_03,PD_09
Torin 1,Neratinib,NCI-H716,15.22915663,PD_03,PD_04
Torin 1,Obatoclax Mesylate,NCI-H716,47.39566162,PD_03,PD_10
Torin 1,oxaliplatin,NCI-H716,33.00897724,PD_03,
Torin 1,Palbociclib,NCI-H716,39.0079545,PD_03,PD_08
Torin 1,SN-38,NCI-H716,48.46986033,PD_03,
Torin 1,Ulixertinib,NCI-H716,53.85907373,PD_03,PD_11
AZD-8055,Capivasertib,NCI-H747,-6.098056861,PD_03,PD_01
AZD-8055,Ipatasertib,NCI-H747,-8.240289412,PD_03,PD_01
AZD-8055,Lapatinib,NCI-H747,-6.204354826,PD_03,PD_04
AZD-8055,Navitoclax,NCI-H747,-0.469773631,PD_03,PD_09
AZD-8055,Neratinib,NCI-H747,-10.41173992,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,NCI-H747,-3.908255383,PD_03,PD_10
AZD-8055,oxaliplatin,NCI-H747,-5.41176204,PD_03,
AZD-8055,Palbociclib,NCI-H747,-3.668851499,PD_03,PD_08
AZD-8055,SN-38,NCI-H747,-3.959230315,PD_03,
AZD-8055,Ulixertinib,NCI-H747,-4.426793062,PD_03,PD_11
Capivasertib,Lapatinib,NCI-H747,0.300955495,PD_01,PD_04
Capivasertib,Neratinib,NCI-H747,2.625699977,PD_01,PD_04
Everolimus,Capivasertib,NCI-H747,-1.607522623,PD_03,PD_01
Everolimus,Ipatasertib,NCI-H747,-2.505694219,PD_03,PD_01
Everolimus,Lapatinib,NCI-H747,-4.071373369,PD_03,PD_04
Everolimus,Navitoclax,NCI-H747,0.622724141,PD_03,PD_09
Everolimus,Neratinib,NCI-H747,-3.881009102,PD_03,PD_04
Everolimus,Obatoclax Mesylate,NCI-H747,16.1443371,PD_03,PD_10
Everolimus,oxaliplatin,NCI-H747,-4.802744941,PD_03,
Everolimus,Palbociclib,NCI-H747,3.631767441,PD_03,PD_08
Everolimus,SN-38,NCI-H747,2.450351587,PD_03,
Everolimus,Ulixertinib,NCI-H747,0.203174573,PD_03,PD_11
Ipatasertib,Lapatinib,NCI-H747,1.585956405,PD_01,PD_04
Ipatasertib,Neratinib,NCI-H747,0.713746865,PD_01,PD_04
