,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
65,Everolimus,Ulixertinib,LS123,10.75691645,PD_08,PD_21,PD_08-PD_21,Everolimus + Ulixertinib,mTORi,ERKi,mTORi + ERKi,"['mTOR_c1', 'mTOR_c2']",['ERK_f'],"['mTOR_c1', 'mTOR_c2'] + ['ERK_f']"
66,Ipatasertib,Lapatinib,LS123,4.592171572,PD_03,PD_11,PD_03-PD_11,Ipatasertib + Lapatinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
67,Ipatasertib,Neratinib,LS123,7.64550296,PD_03,PD_11,PD_03-PD_11,Ipatasertib + Neratinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
68,PF-477736,MK-1775,LS123,27.33258129,PD_18,PD_12,PD_18-PD_12,PF-477736 + MK-1775,CHEKi,Wee1i,CHEKi + Wee1i,"['CHEK1', 'CHEK2']","['PLK1', 'WEE1']","['CHEK1', 'CHEK2'] + ['PLK1', 'WEE1']"
69,PF-477736,Niraparib,LS123,11.70973812,PD_18,PD_14,PD_18-PD_14,PF-477736 + Niraparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
70,PF-477736,Olaparib,LS123,2.020814226,PD_18,PD_14,PD_18-PD_14,PF-477736 + Olaparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
71,PF-477736,Palbociclib,LS123,8.079667169,PD_18,PD_16,PD_18-PD_16,PF-477736 + Palbociclib,CHEKi,CyclinDi,CHEKi + CyclinDi,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
72,PF-477736,PF-3644022,LS123,25.408327,PD_18,PD_17,PD_18-PD_17,PF-477736 + PF-3644022,CHEKi,MAPKi,CHEKi + MAPKi,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
73,Prexasertib,MK-1775,LS123,19.0738737,PD_18,PD_12,PD_18-PD_12,Prexasertib + MK-1775,CHEKi,Wee1i,CHEKi + Wee1i,"['CHEK1', 'CHEK2']","['PLK1', 'WEE1']","['CHEK1', 'CHEK2'] + ['PLK1', 'WEE1']"
74,Prexasertib,Niraparib,LS123,2.013648454,PD_18,PD_14,PD_18-PD_14,Prexasertib + Niraparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
75,Prexasertib,Olaparib,LS123,-1.113639964,PD_18,PD_14,PD_18-PD_14,Prexasertib + Olaparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
