,drug_combination,cell_line,synergy
241,Everolimus + Navitoclax,NCIH716,37.05498945
242,Everolimus + Neratinib,NCIH716,2.891922193
243,Everolimus + Obatoclax,NCIH716,23.49582239
244,Everolimus + Palbociclib,NCIH716,13.68606742
245,Everolimus + Ulixertinib,NCIH716,19.20340652
246,Ipatasertib + Lapatinib,NCIH716,7.960400019
247,Ipatasertib + Neratinib,NCIH716,5.047685935
248,PF-477736 + MK-1775,NCIH716,16.57541196
249,PF-477736 + Niraparib,NCIH716,-4.027168729
250,PF-477736 + Olaparib,NCIH716,-6.472093151
251,PF-477736 + PF-3644022,NCIH716,6.616348642
252,PF-477736 + Palbociclib,NCIH716,6.074380095
253,Prexasertib + MK-1775,NCIH716,13.85641533
254,Prexasertib + Niraparib,NCIH716,-15.29654483
255,Prexasertib + Olaparib,NCIH716,-17.03203743
256,Prexasertib + PF-3644022,NCIH716,-10.62747686
257,Prexasertib + Palbociclib,NCIH716,-17.1473225
258,Torin 1 + Capivasertib,NCIH716,13.16731965
259,Torin 1 + Ipatasertib,NCIH716,10.32559586
260,Torin 1 + Lapatinib,NCIH716,12.40652138
261,Torin 1 + Navitoclax,NCIH716,25.80577742
262,Torin 1 + Neratinib,NCIH716,0.702079936
263,Torin 1 + Obatoclax,NCIH716,16.6158201
264,Torin 1 + Palbociclib,NCIH716,9.418128373
265,Torin 1 + Ulixertinib,NCIH716,22.50956649
266,AZD-8055 + Capivasertib,NCIH747,8.782489377
267,AZD-8055 + Ipatasertib,NCIH747,6.411991059
268,AZD-8055 + Lapatinib,NCIH747,9.72789885
269,AZD-8055 + Navitoclax,NCIH747,8.326031374
270,AZD-8055 + Neratinib,NCIH747,6.632716063
271,AZD-8055 + Obatoclax,NCIH747,8.162864264
272,AZD-8055 + Palbociclib,NCIH747,-1.990159784
273,AZD-8055 + Ulixertinib,NCIH747,11.1011702
274,Capivasertib + Lapatinib,NCIH747,17.07333697
275,Capivasertib + Neratinib,NCIH747,22.22890596
276,Everolimus + Capivasertib,NCIH747,15.65867861
277,Everolimus + Ipatasertib,NCIH747,14.61279642
278,Everolimus + Lapatinib,NCIH747,9.843448728
279,Everolimus + Navitoclax,NCIH747,10.47334336
280,Everolimus + Neratinib,NCIH747,13.31140522
281,Everolimus + Obatoclax,NCIH747,25.73954041
282,Everolimus + Palbociclib,NCIH747,6.82589723
283,Everolimus + Ulixertinib,NCIH747,13.01384223
284,Ipatasertib + Lapatinib,NCIH747,18.02310985
285,Ipatasertib + Neratinib,NCIH747,19.96852811
286,PF-477736 + MK-1775,NCIH747,-2.550416544
287,PF-477736 + Niraparib,NCIH747,-1.603318793
288,PF-477736 + Olaparib,NCIH747,-3.792425151
289,PF-477736 + PF-3644022,NCIH747,-11.61994761
290,PF-477736 + Palbociclib,NCIH747,-12.85391004
291,Prexasertib + MK-1775,NCIH747,9.047794061
292,Prexasertib + Niraparib,NCIH747,0.73778724
293,Prexasertib + Olaparib,NCIH747,1.922283458
294,Prexasertib + PF-3644022,NCIH747,-2.212382303
295,Prexasertib + Palbociclib,NCIH747,-8.090788519
296,Torin 1 + Capivasertib,NCIH747,10.63717994
297,Torin 1 + Ipatasertib,NCIH747,10.4158272
298,Torin 1 + Lapatinib,NCIH747,10.52437493
299,Torin 1 + Navitoclax,NCIH747,8.613168232
300,Torin 1 + Neratinib,NCIH747,9.196641522
301,Torin 1 + Obatoclax,NCIH747,12.10425255
302,Torin 1 + Palbociclib,NCIH747,2.318124683
303,Torin 1 + Ulixertinib,NCIH747,11.30109969
304,AZD-8055 + Capivasertib,SNU81,5.875838711
305,AZD-8055 + Ipatasertib,SNU81,4.220303947
306,AZD-8055 + Lapatinib,SNU81,4.843770577
307,AZD-8055 + Navitoclax,SNU81,19.78773505
308,AZD-8055 + Neratinib,SNU81,-2.3710483
309,AZD-8055 + Obatoclax,SNU81,9.28287095
310,AZD-8055 + Palbociclib,SNU81,-1.3300907
311,AZD-8055 + Ulixertinib,SNU81,1.447512106
312,Capivasertib + Lapatinib,SNU81,9.580301393
313,Capivasertib + Neratinib,SNU81,7.648119942
314,Everolimus + Capivasertib,SNU81,14.33003343
315,Everolimus + Ipatasertib,SNU81,9.670047943
316,Everolimus + Lapatinib,SNU81,7.004736944
317,Everolimus + Navitoclax,SNU81,17.59253238
318,Everolimus + Neratinib,SNU81,-1.984417187
319,Everolimus + Obatoclax,SNU81,11.98869564
320,Everolimus + Palbociclib,SNU81,1.602410861
321,Everolimus + Ulixertinib,SNU81,4.626996219
322,Ipatasertib + Lapatinib,SNU81,5.752377805
323,Ipatasertib + Neratinib,SNU81,-1.440619275
324,PF-477736 + MK-1775,SNU81,18.05223482
325,PF-477736 + Niraparib,SNU81,1.788240556
326,PF-477736 + Olaparib,SNU81,6.405582467
327,PF-477736 + PF-3644022,SNU81,5.64211309
328,PF-477736 + Palbociclib,SNU81,-0.19227356
329,Prexasertib + MK-1775,SNU81,16.01285368
330,Prexasertib + Niraparib,SNU81,2.831807038
331,Prexasertib + Olaparib,SNU81,0.335434674
332,Prexasertib + PF-3644022,SNU81,2.956348505
333,Prexasertib + Palbociclib,SNU81,-4.17103012
334,Torin 1 + Capivasertib,SNU81,8.069323558
335,Torin 1 + Ipatasertib,SNU81,6.572988601
336,Torin 1 + Lapatinib,SNU81,2.587072825
337,Torin 1 + Navitoclax,SNU81,16.53046289
338,Torin 1 + Neratinib,SNU81,-0.012075206
339,Torin 1 + Obatoclax,SNU81,13.30393368
340,Torin 1 + Palbociclib,SNU81,-0.697246352
341,Torin 1 + Ulixertinib,SNU81,1.70752621
342,AZD-8055 + Capivasertib,SW1116,-6.708137049
343,AZD-8055 + Ipatasertib,SW1116,-7.805379738
344,AZD-8055 + Lapatinib,SW1116,8.641622272
345,AZD-8055 + Navitoclax,SW1116,8.475028182
346,AZD-8055 + Neratinib,SW1116,6.049595537
347,AZD-8055 + Obatoclax,SW1116,6.539612098
348,AZD-8055 + Palbociclib,SW1116,-1.497618885
349,AZD-8055 + Ulixertinib,SW1116,4.222305657
350,Capivasertib + Lapatinib,SW1116,15.23856555
351,Capivasertib + Neratinib,SW1116,1.845429633
352,Everolimus + Capivasertib,SW1116,-3.279182586
353,Everolimus + Ipatasertib,SW1116,-14.38121061
354,Everolimus + Lapatinib,SW1116,-0.180847753
355,Everolimus + Navitoclax,SW1116,2.916524509
356,Everolimus + Neratinib,SW1116,-1.667559351
357,Everolimus + Obatoclax,SW1116,5.539032637
358,Everolimus + Palbociclib,SW1116,-1.735892301
359,Everolimus + Ulixertinib,SW1116,2.972393193
360,Ipatasertib + Lapatinib,SW1116,9.793614537
361,Ipatasertib + Neratinib,SW1116,-2.244477183
362,PF-477736 + MK-1775,SW1116,-14.57296326
363,PF-477736 + Niraparib,SW1116,-22.96962765
364,PF-477736 + Olaparib,SW1116,-25.21276859
365,PF-477736 + PF-3644022,SW1116,-2.652158863
366,PF-477736 + Palbociclib,SW1116,-1.475581425
367,Prexasertib + MK-1775,SW1116,-18.41801077
368,Prexasertib + Niraparib,SW1116,-25.74621601
369,Prexasertib + Olaparib,SW1116,-29.49284207
370,Prexasertib + PF-3644022,SW1116,-9.270305274
371,Prexasertib + Palbociclib,SW1116,-8.641218827
372,Torin 1 + Capivasertib,SW1116,-3.659517005
373,Torin 1 + Ipatasertib,SW1116,-11.70261478
374,Torin 1 + Lapatinib,SW1116,-1.909640796
375,Torin 1 + Navitoclax,SW1116,4.470418813
376,Torin 1 + Neratinib,SW1116,-1.602918486
377,Torin 1 + Obatoclax,SW1116,1.062381822
378,Torin 1 + Palbociclib,SW1116,-6.326221332
379,Torin 1 + Ulixertinib,SW1116,-4.856127133
380,AZD-8055 + Capivasertib,SW1417,-1.209733299
381,AZD-8055 + Ipatasertib,SW1417,-0.796830922
382,AZD-8055 + Lapatinib,SW1417,6.157808711
383,AZD-8055 + Navitoclax,SW1417,11.42991004
384,AZD-8055 + Neratinib,SW1417,3.441629902
385,AZD-8055 + Obatoclax,SW1417,6.880009383
386,AZD-8055 + Palbociclib,SW1417,1.230634626
387,AZD-8055 + Ulixertinib,SW1417,9.035116033
388,Capivasertib + Lapatinib,SW1417,8.720405881
389,Capivasertib + Neratinib,SW1417,-1.897542263
390,Everolimus + Capivasertib,SW1417,4.214740388
391,Everolimus + Ipatasertib,SW1417,2.962465485
392,Everolimus + Lapatinib,SW1417,4.383221983
393,Everolimus + Navitoclax,SW1417,3.668183815
394,Everolimus + Neratinib,SW1417,3.875507004
395,Everolimus + Obatoclax,SW1417,2.563090684
396,Everolimus + Palbociclib,SW1417,-0.423609716
397,Everolimus + Ulixertinib,SW1417,6.620821864
398,Ipatasertib + Lapatinib,SW1417,9.065901791
399,Ipatasertib + Neratinib,SW1417,-4.051309538
